"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 14:12:21 EST 2024","Tue Jan 09 14:13:46 EST 2024","85474","Default Suite","SeleniumAdvanceFramwwork","org.example.vwo.LoginTests.loginTest","org.example.vwo.LoginTests.loginTest","testLoginNegative","testLoginNegative",""
"broken","Tue Jan 09 14:13:46 EST 2024","Tue Jan 09 14:15:05 EST 2024","78728","Default Suite","SeleniumAdvanceFramwwork","org.example.vwo.LoginTests.loginTest","org.example.vwo.LoginTests.loginTest","testLoginPositive","testLoginPositive",""
